                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.57318,                0.44531,                 0.9917,                0.94169,                 0.8952,                0.93635,                0.82053,                0.47492,                0.32497,                  0.949,             0.00059429,             0.00059429,             0.00059429
                     67,                0.57294,                0.43689,                0.98877,                0.92692,                0.90074,                0.93789,                0.82731,                0.45924,                0.32645,                0.93938,             0.00057778,             0.00057778,             0.00057778
                     68,                0.56387,                0.42943,                0.98272,                0.93997,                0.88189,                0.93198,                0.82425,                0.46775,                0.32267,                0.94006,             0.00056128,             0.00056128,             0.00056128
                     69,                0.56559,                0.43511,                0.98709,                0.94038,                0.88887,                0.93954,                0.82827,                0.46468,                0.31323,                0.94136,             0.00054478,             0.00054478,             0.00054478
                     70,                0.56173,                0.42781,                 0.9879,                0.93531,                0.89732,                0.93878,                0.83237,                  0.464,                0.32637,                0.94223,             0.00052827,             0.00052827,             0.00052827
                     71,                0.56468,                0.42521,                 0.9809,                0.96618,                0.87015,                0.93076,                0.82052,                0.47289,                0.33819,                0.95684,             0.00051177,             0.00051177,             0.00051177
                     72,                0.55972,                0.42159,                0.98674,                0.96599,                0.85151,                0.93293,                0.82542,                0.47643,                0.32976,                0.94531,             0.00049527,             0.00049527,             0.00049527
                     73,                 0.5467,                0.41665,                0.97896,                0.93449,                0.89732,                0.93681,                0.82708,                0.46534,                0.32441,                0.94322,             0.00047876,             0.00047876,             0.00047876
                     74,                0.53808,                0.40791,                0.97268,                0.94312,                0.88996,                0.94196,                0.83569,                0.45391,                0.32026,                0.93845,             0.00046226,             0.00046226,             0.00046226
                     75,                 0.5407,                0.39784,                0.97333,                0.97578,                0.86743,                0.93705,                0.82361,                  0.475,                0.31268,                0.95573,             0.00044576,             0.00044576,             0.00044576
                     76,                0.53306,                0.39789,                0.96912,                0.93121,                0.90059,                0.94331,                0.83566,                0.45959,                0.31242,                0.93939,             0.00042925,             0.00042925,             0.00042925
                     77,                0.52552,                0.39793,                0.96929,                 0.9416,                0.91303,                0.94502,                0.83733,                0.46933,                0.31419,                0.95273,             0.00041275,             0.00041275,             0.00041275
                     78,                0.52805,                0.39907,                0.97048,                  0.936,                0.89696,                0.93377,                0.82833,                0.47586,                0.33022,                0.96028,             0.00039625,             0.00039625,             0.00039625
                     79,                0.52433,                0.39733,                0.96624,                0.96493,                0.89286,                0.94313,                0.83434,                 0.4533,                0.30497,                0.93704,             0.00037974,             0.00037974,             0.00037974
                     80,                0.52502,                0.39247,                0.96843,                0.88928,                0.91368,                 0.9309,                0.82517,                0.45787,                0.33119,                 0.9385,             0.00036324,             0.00036324,             0.00036324
                     81,                0.52265,                0.39197,                0.96652,                0.98841,                0.87583,                0.94137,                0.83674,                0.45178,                0.29502,                0.94037,             0.00034674,             0.00034674,             0.00034674
                     82,                0.52199,                  0.398,                0.96579,                0.94057,                0.90179,                0.94591,                 0.8354,                 0.4563,                0.30423,                0.94228,             0.00033023,             0.00033023,             0.00033023
                     83,                 0.5075,                0.38638,                0.96092,                0.92997,                0.91076,                0.94113,                0.84159,                 0.4355,                0.30488,                0.92719,             0.00031373,             0.00031373,             0.00031373
                     84,                0.49624,                0.37334,                0.95652,                0.92827,                0.91071,                0.94328,                0.84232,                0.43287,                 0.3034,                0.92593,             0.00029723,             0.00029723,             0.00029723
                     85,                0.50717,                0.38673,                0.95836,                0.94406,                0.90179,                  0.939,                0.83354,                0.43178,                0.29382,                0.93113,             0.00028072,             0.00028072,             0.00028072
                     86,                 0.4947,                0.37023,                0.95725,                0.91477,                0.89641,                0.92912,                0.83255,                0.43404,                0.29697,                 0.9288,             0.00026422,             0.00026422,             0.00026422
                     87,                 0.4979,                 0.3703,                0.95569,                0.94827,                0.89527,                0.93204,                0.83636,                0.44261,                 0.3008,                0.94324,             0.00024772,             0.00024772,             0.00024772
                     88,                0.49866,                0.37435,                0.96131,                0.91479,                0.89735,                0.92922,                0.83535,                0.43508,                0.30179,                0.93987,             0.00023121,             0.00023121,             0.00023121
                     89,                0.48984,                0.36613,                 0.9493,                0.91947,                0.91071,                0.92972,                0.83488,                0.44028,                0.30111,                0.93987,             0.00021471,             0.00021471,             0.00021471
                     90,                0.47996,                0.36339,                0.95347,                 0.9248,                0.89528,                0.93352,                0.83908,                0.43216,                0.29323,                0.93612,             0.00019821,             0.00019821,             0.00019821
                     91,                 0.3404,                 0.2474,                0.85854,                0.95464,                0.85645,                0.92708,                0.83254,                0.45322,                  0.304,                0.95406,              0.0001817,              0.0001817,              0.0001817
                     92,                0.32926,                0.22801,                0.85038,                0.93906,                0.89543,                0.92883,                0.82704,                0.44609,                 0.3058,                0.95399,              0.0001652,              0.0001652,              0.0001652
                     93,                0.31859,                0.22371,                0.85356,                0.92503,                0.88393,                  0.928,                 0.8289,                 0.4434,                 0.3051,                0.94746,              0.0001487,              0.0001487,              0.0001487
                     94,                0.31101,                0.21673,                0.84791,                0.93811,                 0.9145,                0.93462,                0.83634,                0.42901,                0.29582,                0.94104,             0.00013219,             0.00013219,             0.00013219
                     95,                0.30584,                0.21523,                0.85009,                0.94182,                0.89286,                0.93027,                0.84082,                 0.4253,                0.28888,                0.94356,             0.00011569,             0.00011569,             0.00011569
                     96,                0.29826,                 0.2088,                0.84466,                0.95302,                 0.9006,                 0.9287,                0.83729,                0.42473,                0.28666,                0.93794,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.29628,                0.20908,                0.84349,                0.92914,                0.90496,                0.92924,                0.83568,                 0.4238,                0.29117,                0.93607,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.29363,                0.20388,                0.83792,                0.93712,                0.90909,                0.93199,                0.83906,                0.42223,                0.29581,                0.93506,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 0.2932,                0.20356,                0.83766,                0.93303,                0.91518,                0.93078,                0.83785,                0.42022,                0.29548,                0.93049,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.29046,                 0.2023,                0.83964,                0.92907,                0.91071,                0.92861,                0.83875,                0.41727,                0.29821,                0.92957,             3.3173e-05,             3.3173e-05,             3.3173e-05
